[2026-06-30T13:50:16.331+0000] {logging_mixin.py:190} INFO - Skipping movie 1674639: could not fetch metadata.
[2026-06-30T13:50:16.601+0000] {logging_mixin.py:190} INFO - Skipping movie 1543589: could not fetch metadata.
[2026-06-30T13:50:17.816+0000] {logging_mixin.py:190} INFO - Skipping movie 1576454: could not fetch metadata.
[2026-06-30T13:50:19.293+0000] {logging_mixin.py:190} INFO - Skipping movie 1609330: could not fetch metadata.
[2026-06-30T13:50:19.570+0000] {logging_mixin.py:190} INFO - Skipping movie 1445501: could not fetch metadata.
[2026-06-30T13:50:20.385+0000] {logging_mixin.py:190} INFO - Skipping movie 1707659: could not fetch metadata.
[2026-06-30T13:50:22.735+0000] {logging_mixin.py:190} INFO - Skipping movie 1380120: could not fetch metadata.
[2026-06-30T13:50:23.440+0000] {logging_mixin.py:190} INFO - Skipping movie 1380146: could not fetch metadata.
[2026-06-30T13:50:24.179+0000] {logging_mixin.py:190} INFO - Skipping movie 1380154: could not fetch metadata.
[2026-06-30T13:50:24.325+0000] {logging_mixin.py:190} INFO - Skipping movie 1380171: could not fetch metadata.
[2026-06-30T13:50:24.339+0000] {logging_mixin.py:190} INFO - Skipping movie 1380173: could not fetch metadata.
[2026-06-30T13:50:24.612+0000] {logging_mixin.py:190} INFO - Skipping movie 1380179: could not fetch metadata.
[2026-06-30T13:50:24.759+0000] {logging_mixin.py:190} INFO - Skipping movie 1380182: could not fetch metadata.
[2026-06-30T13:50:24.844+0000] {logging_mixin.py:190} INFO - Skipping movie 1380159: could not fetch metadata.
[2026-06-30T13:50:25.111+0000] {logging_mixin.py:190} INFO - Skipping movie 1380200: could not fetch metadata.
[2026-06-30T13:50:27.293+0000] {logging_mixin.py:190} INFO - Skipping movie 1314749: could not fetch metadata.
[2026-06-30T13:50:29.390+0000] {logging_mixin.py:190} INFO - Skipping movie 1183790: could not fetch metadata.
[2026-06-30T13:50:29.402+0000] {logging_mixin.py:190} INFO - Skipping movie 1183789: could not fetch metadata.
[2026-06-30T13:50:29.430+0000] {logging_mixin.py:190} INFO - Skipping movie 1183794: could not fetch metadata.
[2026-06-30T13:50:29.444+0000] {logging_mixin.py:190} INFO - Skipping movie 1445939: could not fetch metadata.
[2026-06-30T13:50:29.626+0000] {logging_mixin.py:190} INFO - Skipping movie 1183802: could not fetch metadata.
[2026-06-30T13:50:29.731+0000] {logging_mixin.py:190} INFO - Skipping movie 1183810: could not fetch metadata.
[2026-06-30T13:50:29.775+0000] {logging_mixin.py:190} INFO - Skipping movie 1183814: could not fetch metadata.
[2026-06-30T13:50:30.230+0000] {logging_mixin.py:190} INFO - Skipping movie 1183818: could not fetch metadata.
[2026-06-30T13:50:30.701+0000] {logging_mixin.py:190} INFO - Skipping movie 1183831: could not fetch metadata.
[2026-06-30T13:50:30.812+0000] {logging_mixin.py:190} INFO - Skipping movie 1183835: could not fetch metadata.
[2026-06-30T13:50:30.954+0000] {logging_mixin.py:190} INFO - Skipping movie 1183821: could not fetch metadata.
[2026-06-30T13:50:31.210+0000] {logging_mixin.py:190} INFO - Skipping movie 1183823: could not fetch metadata.
[2026-06-30T13:50:31.232+0000] {logging_mixin.py:190} INFO - Skipping movie 1478771: could not fetch metadata.
[2026-06-30T13:50:32.196+0000] {logging_mixin.py:190} INFO - Skipping movie 1642666: could not fetch metadata.
[2026-06-30T13:50:33.614+0000] {logging_mixin.py:190} INFO - Skipping movie 1544393: could not fetch metadata.
[2026-06-30T13:50:34.836+0000] {logging_mixin.py:190} INFO - Skipping movie 1642749: could not fetch metadata.
[2026-06-30T13:50:37.577+0000] {logging_mixin.py:190} INFO - Skipping movie 987552: could not fetch metadata.
[2026-06-30T13:50:37.595+0000] {logging_mixin.py:190} INFO - Skipping movie 987553: could not fetch metadata.
[2026-06-30T13:50:39.810+0000] {logging_mixin.py:190} INFO - Skipping movie 889385: could not fetch metadata.
[2026-06-30T13:50:40.387+0000] {logging_mixin.py:190} INFO - Skipping movie 1675865: could not fetch metadata.
[2026-06-30T13:50:40.611+0000] {logging_mixin.py:190} INFO - Skipping movie 1643077: could not fetch metadata.
[2026-06-30T13:50:41.014+0000] {logging_mixin.py:190} INFO - Skipping movie 1708597: could not fetch metadata.
[2026-06-30T13:50:44.298+0000] {logging_mixin.py:190} INFO - Skipping movie 1020674: could not fetch metadata.
[2026-06-30T13:50:44.456+0000] {logging_mixin.py:190} INFO - Skipping movie 1708825: could not fetch metadata.
[2026-06-30T13:50:45.555+0000] {logging_mixin.py:190} INFO - Skipping movie 1524997: could not fetch metadata.
[2026-06-30T13:50:46.357+0000] {logging_mixin.py:190} INFO - Skipping movie 1643361: could not fetch metadata.
[2026-06-30T13:50:46.510+0000] {logging_mixin.py:190} INFO - Skipping movie 1446765: could not fetch metadata.
[2026-06-30T13:50:48.284+0000] {logging_mixin.py:190} INFO - Skipping movie 1217479: could not fetch metadata.
