[2026-07-21T13:46:17.036+0000] {logging_mixin.py:190} INFO - Skipping movie 1150971: could not fetch metadata.
[2026-07-21T13:46:17.095+0000] {logging_mixin.py:190} INFO - Skipping movie 1249280: could not fetch metadata.
[2026-07-21T13:46:18.108+0000] {logging_mixin.py:190} INFO - Skipping movie 1216644: could not fetch metadata.
[2026-07-21T13:46:18.827+0000] {logging_mixin.py:190} INFO - Skipping movie 790685: could not fetch metadata.
[2026-07-21T13:46:19.478+0000] {logging_mixin.py:190} INFO - Skipping movie 1052920: could not fetch metadata.
[2026-07-21T13:46:21.812+0000] {logging_mixin.py:190} INFO - Skipping movie 1544688: could not fetch metadata.
[2026-07-21T13:46:29.341+0000] {logging_mixin.py:190} INFO - Skipping movie 922906: could not fetch metadata.
[2026-07-21T13:46:31.516+0000] {logging_mixin.py:190} INFO - Skipping movie 1611326: could not fetch metadata.
[2026-07-21T13:46:31.943+0000] {logging_mixin.py:190} INFO - Skipping movie 1447563: could not fetch metadata.
[2026-07-21T13:46:32.128+0000] {logging_mixin.py:190} INFO - Skipping movie 1676951: could not fetch metadata.
[2026-07-21T13:46:35.442+0000] {logging_mixin.py:190} INFO - Skipping movie 1185897: could not fetch metadata.
[2026-07-21T13:46:35.466+0000] {logging_mixin.py:190} INFO - Skipping movie 890987: could not fetch metadata.
[2026-07-21T13:46:35.532+0000] {logging_mixin.py:190} INFO - Skipping movie 890995: could not fetch metadata.
[2026-07-21T13:46:37.322+0000] {logging_mixin.py:190} INFO - Skipping movie 923906: could not fetch metadata.
[2026-07-21T13:46:41.064+0000] {logging_mixin.py:190} INFO - Skipping movie 1219231: could not fetch metadata.
[2026-07-21T13:46:41.416+0000] {logging_mixin.py:190} INFO - Skipping movie 1514204: could not fetch metadata.
[2026-07-21T13:46:41.561+0000] {logging_mixin.py:190} INFO - Skipping movie 1514214: could not fetch metadata.
[2026-07-21T13:46:41.805+0000] {logging_mixin.py:190} INFO - Skipping movie 1612396: could not fetch metadata.
[2026-07-21T13:46:42.589+0000] {logging_mixin.py:190} INFO - Skipping movie 1514121: could not fetch metadata.
[2026-07-21T13:46:43.917+0000] {logging_mixin.py:190} INFO - Skipping movie 1416051: could not fetch metadata.
[2026-07-21T13:46:44.662+0000] {logging_mixin.py:190} INFO - Skipping movie 1514556: could not fetch metadata.
[2026-07-21T13:46:45.266+0000] {logging_mixin.py:190} INFO - Skipping movie 695464: could not fetch metadata.
[2026-07-21T13:46:45.577+0000] {logging_mixin.py:190} INFO - Skipping movie 564406: could not fetch metadata.
[2026-07-21T13:46:45.962+0000] {logging_mixin.py:190} INFO - Skipping movie 859380: could not fetch metadata.
[2026-07-21T13:46:48.121+0000] {logging_mixin.py:190} INFO - Skipping movie 826907: could not fetch metadata.
[2026-07-21T13:46:48.518+0000] {logging_mixin.py:190} INFO - Skipping movie 1154592: could not fetch metadata.
[2026-07-21T13:46:48.873+0000] {logging_mixin.py:190} INFO - Skipping movie 826904: could not fetch metadata.
[2026-07-21T13:46:49.164+0000] {logging_mixin.py:190} INFO - Skipping movie 1733968: could not fetch metadata.
[2026-07-21T13:46:52.510+0000] {logging_mixin.py:190} INFO - Skipping movie 1646561: could not fetch metadata.
[2026-07-21T13:46:52.610+0000] {logging_mixin.py:190} INFO - Skipping movie 1646564: could not fetch metadata.
[2026-07-21T13:46:53.701+0000] {logging_mixin.py:190} INFO - Skipping movie 1646593: could not fetch metadata.
[2026-07-21T13:46:54.755+0000] {logging_mixin.py:190} INFO - Skipping movie 1187946: could not fetch metadata.
[2026-07-21T13:46:55.069+0000] {logging_mixin.py:190} INFO - Skipping movie 991353: could not fetch metadata.
[2026-07-21T13:46:56.509+0000] {logging_mixin.py:190} INFO - Skipping movie 1056957: could not fetch metadata.
[2026-07-21T13:46:57.154+0000] {logging_mixin.py:190} INFO - Skipping movie 1548509: could not fetch metadata.
[2026-07-21T13:46:59.013+0000] {logging_mixin.py:190} INFO - Skipping movie 893307: could not fetch metadata.
[2026-07-21T13:46:59.293+0000] {logging_mixin.py:190} INFO - Skipping movie 762254: could not fetch metadata.
[2026-07-21T13:47:00.261+0000] {logging_mixin.py:190} INFO - Skipping movie 729576: could not fetch metadata.
[2026-07-21T13:47:01.047+0000] {logging_mixin.py:190} INFO - Skipping movie 795135: could not fetch metadata.
[2026-07-21T13:47:01.064+0000] {logging_mixin.py:190} INFO - Skipping movie 1734156: could not fetch metadata.
[2026-07-21T13:47:01.164+0000] {logging_mixin.py:190} INFO - Skipping movie 795137: could not fetch metadata.
[2026-07-21T13:47:03.164+0000] {logging_mixin.py:190} INFO - Skipping movie 991832: could not fetch metadata.
[2026-07-21T13:47:05.282+0000] {logging_mixin.py:190} INFO - Skipping movie 1734206: could not fetch metadata.
[2026-07-21T13:47:06.597+0000] {logging_mixin.py:190} INFO - Skipping movie 1734218: could not fetch metadata.
[2026-07-21T13:47:12.601+0000] {logging_mixin.py:190} INFO - Skipping movie 1582234: could not fetch metadata.
[2026-07-21T13:47:13.942+0000] {logging_mixin.py:190} INFO - Skipping movie 1320135: could not fetch metadata.
[2026-07-21T13:47:15.383+0000] {logging_mixin.py:190} INFO - Skipping movie 1287434: could not fetch metadata.
[2026-07-21T13:47:16.133+0000] {logging_mixin.py:190} INFO - Skipping movie 697642: could not fetch metadata.
[2026-07-21T13:47:17.653+0000] {logging_mixin.py:190} INFO - Skipping movie 1582451: could not fetch metadata.
[2026-07-21T13:47:20.899+0000] {logging_mixin.py:190} INFO - Skipping movie 1680914: could not fetch metadata.
[2026-07-21T13:47:25.192+0000] {logging_mixin.py:190} INFO - Skipping movie 992892: could not fetch metadata.
[2026-07-21T13:47:25.604+0000] {logging_mixin.py:190} INFO - Skipping movie 1604159: could not fetch metadata.
[2026-07-21T13:47:28.580+0000] {logging_mixin.py:190} INFO - Skipping movie 894891: could not fetch metadata.
