[2026-07-14T12:34:21.028+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-14T12:34:21.094+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-13T00:00:00+00:00 [queued]>
[2026-07-14T12:34:21.127+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-13T00:00:00+00:00 [queued]>
[2026-07-14T12:34:21.129+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-07-14T12:34:21.169+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-13 00:00:00+00:00
[2026-07-14T12:34:21.190+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-13T00:00:00+00:00', '--job-id', '75', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp913dwfqr']
[2026-07-14T12:34:21.201+0000] {standard_task_runner.py:105} INFO - Job 75: Subtask incremental_sync_pipeline
[2026-07-14T12:34:21.200+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=190) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-14T12:38:54.343+0000] {logging_mixin.py:190} INFO - Skipping movie 1446368: could not fetch metadata.
[2026-07-14T12:38:59.436+0000] {logging_mixin.py:190} INFO - Skipping movie 1446628: could not fetch metadata.
[2026-07-14T12:39:00.953+0000] {logging_mixin.py:190} INFO - Skipping movie 1708870: could not fetch metadata.
[2026-07-14T12:39:01.538+0000] {logging_mixin.py:190} INFO - Skipping movie 1708867: could not fetch metadata.
[2026-07-14T12:39:02.434+0000] {logging_mixin.py:190} INFO - Skipping movie 1184644: could not fetch metadata.
[2026-07-14T12:39:02.457+0000] {logging_mixin.py:190} INFO - Skipping movie 791460: could not fetch metadata.
[2026-07-14T12:39:02.596+0000] {logging_mixin.py:190} INFO - Skipping movie 1184685: could not fetch metadata.
[2026-07-14T12:39:02.801+0000] {logging_mixin.py:190} INFO - Skipping movie 1184698: could not fetch metadata.
[2026-07-14T12:39:03.139+0000] {logging_mixin.py:190} INFO - Skipping movie 1184711: could not fetch metadata.
[2026-07-14T12:39:04.673+0000] {logging_mixin.py:190} INFO - Skipping movie 1709180: could not fetch metadata.
[2026-07-14T12:39:05.638+0000] {logging_mixin.py:190} INFO - Skipping movie 791744: could not fetch metadata.
[2026-07-14T12:39:09.809+0000] {logging_mixin.py:190} INFO - Skipping movie 792015: could not fetch metadata.
[2026-07-14T12:39:09.955+0000] {logging_mixin.py:190} INFO - Skipping movie 1709580: could not fetch metadata.
[2026-07-14T12:39:10.172+0000] {logging_mixin.py:190} INFO - Skipping movie 1447453: could not fetch metadata.
[2026-07-14T12:39:13.059+0000] {logging_mixin.py:190} INFO - Skipping movie 923386: could not fetch metadata.
[2026-07-14T12:39:13.341+0000] {logging_mixin.py:190} INFO - Skipping movie 661260: could not fetch metadata.
[2026-07-14T12:39:18.479+0000] {logging_mixin.py:190} INFO - Skipping movie 1185893: could not fetch metadata.
[2026-07-14T12:39:18.537+0000] {logging_mixin.py:190} INFO - Skipping movie 1579117: could not fetch metadata.
[2026-07-14T12:39:22.474+0000] {logging_mixin.py:190} INFO - Skipping movie 530765: could not fetch metadata.
[2026-07-14T12:39:23.065+0000] {logging_mixin.py:190} INFO - Skipping movie 399737: could not fetch metadata.
[2026-07-14T12:39:29.205+0000] {logging_mixin.py:190} INFO - Skipping movie 1710810: could not fetch metadata.
[2026-07-14T12:39:30.898+0000] {logging_mixin.py:190} INFO - Skipping movie 531280: could not fetch metadata.
[2026-07-14T12:39:31.165+0000] {logging_mixin.py:190} INFO - Skipping movie 1710941: could not fetch metadata.
[2026-07-14T12:39:31.987+0000] {logging_mixin.py:190} INFO - Skipping movie 1448869: could not fetch metadata.
[2026-07-14T12:39:35.066+0000] {logging_mixin.py:190} INFO - Skipping movie 1318019: could not fetch metadata.
[2026-07-14T12:39:40.595+0000] {logging_mixin.py:190} INFO - Skipping movie 1318384: could not fetch metadata.
[2026-07-14T12:39:41.037+0000] {logging_mixin.py:190} INFO - Skipping movie 1711628: could not fetch metadata.
[2026-07-14T12:39:43.099+0000] {logging_mixin.py:190} INFO - Skipping movie 1056441: could not fetch metadata.
[2026-07-14T12:39:43.383+0000] {logging_mixin.py:190} INFO - Skipping movie 1711804: could not fetch metadata.
[2026-07-14T12:39:43.428+0000] {logging_mixin.py:190} INFO - Skipping movie 1449662: could not fetch metadata.
[2026-07-14T12:39:46.193+0000] {logging_mixin.py:190} INFO - Skipping movie 270212: could not fetch metadata.
[2026-07-14T12:39:46.361+0000] {logging_mixin.py:190} INFO - Skipping movie 270214: could not fetch metadata.
[2026-07-14T12:39:46.379+0000] {logging_mixin.py:190} INFO - Skipping movie 270216: could not fetch metadata.
[2026-07-14T12:39:46.458+0000] {logging_mixin.py:190} INFO - Skipping movie 1712011: could not fetch metadata.
[2026-07-14T12:39:47.991+0000] {logging_mixin.py:190} INFO - Skipping movie 1581054: could not fetch metadata.
[2026-07-14T12:39:50.131+0000] {logging_mixin.py:190} INFO - Skipping movie 794681: could not fetch metadata.
[2026-07-14T12:39:50.581+0000] {logging_mixin.py:190} INFO - Skipping movie 794707: could not fetch metadata.
[2026-07-14T12:39:56.621+0000] {logging_mixin.py:190} INFO - Skipping movie 1712511: could not fetch metadata.
[2026-07-14T12:39:57.990+0000] {logging_mixin.py:190} INFO - Skipping movie 1712598: could not fetch metadata.
[2026-07-14T12:39:59.657+0000] {logging_mixin.py:190} INFO - Skipping movie 1581606: could not fetch metadata.
[2026-07-14T12:40:10.394+0000] {logging_mixin.py:190} INFO - Skipping movie 1320015: could not fetch metadata.
[2026-07-14T12:40:32.879+0000] {logging_mixin.py:190} INFO - Skipping movie 403194: could not fetch metadata.
[2026-07-14T12:40:34.023+0000] {logging_mixin.py:190} INFO - Skipping movie 272167: could not fetch metadata.
[2026-07-14T12:40:40.598+0000] {logging_mixin.py:190} INFO - Skipping movie 1714176: could not fetch metadata.
[2026-07-14T12:40:41.523+0000] {logging_mixin.py:190} INFO - Skipping movie 1714224: could not fetch metadata.
[2026-07-14T12:40:42.850+0000] {logging_mixin.py:190} INFO - Skipping movie 1714259: could not fetch metadata.
[2026-07-14T12:41:06.024+0000] {logging_mixin.py:190} INFO - Skipping movie 1714794: could not fetch metadata.
[2026-07-14T12:41:10.086+0000] {logging_mixin.py:190} INFO - Skipping movie 1714939: could not fetch metadata.
[2026-07-14T12:41:10.317+0000] {logging_mixin.py:190} INFO - Skipping movie 1059590: could not fetch metadata.
[2026-07-14T12:41:12.962+0000] {logging_mixin.py:190} INFO - Skipping movie 1715017: could not fetch metadata.
[2026-07-14T12:41:21.599+0000] {logging_mixin.py:190} INFO - Skipping movie 1715291: could not fetch metadata.
[2026-07-14T12:41:23.344+0000] {logging_mixin.py:190} INFO - Skipping movie 1715313: could not fetch metadata.
[2026-07-14T12:41:23.470+0000] {logging_mixin.py:190} INFO - Skipping movie 1715323: could not fetch metadata.
[2026-07-14T12:41:24.233+0000] {logging_mixin.py:190} INFO - Skipping movie 1715357: could not fetch metadata.
[2026-07-14T12:41:24.296+0000] {logging_mixin.py:190} INFO - Skipping movie 1715352: could not fetch metadata.
[2026-07-14T12:41:26.751+0000] {logging_mixin.py:190} INFO - Skipping movie 1715401: could not fetch metadata.
[2026-07-14T12:41:27.003+0000] {logging_mixin.py:190} INFO - Skipping movie 1715403: could not fetch metadata.
[2026-07-14T12:41:27.191+0000] {logging_mixin.py:190} INFO - Skipping movie 1715406: could not fetch metadata.
[2026-07-14T12:41:27.691+0000] {logging_mixin.py:190} INFO - Skipping movie 1715407: could not fetch metadata.
[2026-07-14T12:41:28.199+0000] {logging_mixin.py:190} INFO - Skipping movie 1715439: could not fetch metadata.
[2026-07-14T12:41:28.536+0000] {logging_mixin.py:190} INFO - Skipping movie 1715451: could not fetch metadata.
[2026-07-14T12:41:32.261+0000] {logging_mixin.py:190} INFO - Skipping movie 1715571: could not fetch metadata.
[2026-07-14T12:41:35.094+0000] {logging_mixin.py:190} INFO - Skipping movie 929279: could not fetch metadata.
[2026-07-14T12:41:39.638+0000] {logging_mixin.py:190} INFO - Skipping movie 274054: could not fetch metadata.
[2026-07-14T12:41:43.921+0000] {logging_mixin.py:190} INFO - Skipping movie 405379: could not fetch metadata.
[2026-07-14T12:41:43.947+0000] {logging_mixin.py:190} INFO - Skipping movie 143241: could not fetch metadata.
[2026-07-14T12:41:45.247+0000] {logging_mixin.py:190} INFO - Skipping movie 1716145: could not fetch metadata.
[2026-07-14T12:41:47.427+0000] {logging_mixin.py:190} INFO - Skipping movie 274512: could not fetch metadata.
[2026-07-14T12:41:47.624+0000] {logging_mixin.py:190} INFO - Skipping movie 1716316: could not fetch metadata.
[2026-07-14T12:41:52.528+0000] {logging_mixin.py:190} INFO - Skipping movie 1716536: could not fetch metadata.
[2026-07-14T12:41:54.330+0000] {logging_mixin.py:190} INFO - Skipping movie 1716671: could not fetch metadata.
[2026-07-14T12:41:58.943+0000] {logging_mixin.py:190} INFO - Skipping movie 1716940: could not fetch metadata.
[2026-07-14T12:42:00.349+0000] {logging_mixin.py:190} INFO - Skipping movie 1717030: could not fetch metadata.
[2026-07-14T12:42:06.752+0000] {logging_mixin.py:190} INFO - Skipping movie 930828: could not fetch metadata.
[2026-07-14T12:42:08.757+0000] {logging_mixin.py:190} INFO - Skipping movie 1717350: could not fetch metadata.
[2026-07-14T12:42:09.036+0000] {logging_mixin.py:190} INFO - Skipping movie 1717367: could not fetch metadata.
[2026-07-14T12:42:12.048+0000] {logging_mixin.py:190} INFO - Skipping movie 1324239: could not fetch metadata.
[2026-07-14T12:42:14.136+0000] {logging_mixin.py:190} INFO - Skipping movie 1717584: could not fetch metadata.
[2026-07-14T12:42:20.647+0000] {logging_mixin.py:190} INFO - Skipping movie 1717857: could not fetch metadata.
[2026-07-14T12:42:53.137+0000] {logging_mixin.py:190} INFO - Skipping movie 1587486: could not fetch metadata.
[2026-07-14T12:42:53.727+0000] {logging_mixin.py:190} INFO - Skipping movie 1718611: could not fetch metadata.
[2026-07-14T12:42:59.314+0000] {logging_mixin.py:190} INFO - Skipping movie 1718934: could not fetch metadata.
[2026-07-14T12:42:59.600+0000] {logging_mixin.py:190} INFO - Skipping movie 1718993: could not fetch metadata.
[2026-07-14T12:43:00.150+0000] {logging_mixin.py:190} INFO - Skipping movie 1194727: could not fetch metadata.
[2026-07-14T12:43:00.835+0000] {logging_mixin.py:190} INFO - Skipping movie 670478: could not fetch metadata.
[2026-07-14T12:43:04.001+0000] {logging_mixin.py:190} INFO - Skipping movie 1194923: could not fetch metadata.
[2026-07-14T12:43:04.281+0000] {logging_mixin.py:190} INFO - Skipping movie 932790: could not fetch metadata.
[2026-07-14T12:43:09.961+0000] {logging_mixin.py:190} INFO - Skipping movie 146681: could not fetch metadata.
[2026-07-14T12:43:13.290+0000] {logging_mixin.py:190} INFO - Skipping movie 802167: could not fetch metadata.
[2026-07-14T12:43:14.265+0000] {logging_mixin.py:190} INFO - Skipping movie 1719735: could not fetch metadata.
[2026-07-14T12:43:20.847+0000] {logging_mixin.py:190} INFO - Skipping movie 1720007: could not fetch metadata.
[2026-07-14T12:43:25.136+0000] {logging_mixin.py:190} INFO - Skipping movie 1720212: could not fetch metadata.
[2026-07-14T12:43:30.040+0000] {logging_mixin.py:190} INFO - Skipping movie 1201653: could not fetch metadata.
[2026-07-14T12:43:30.412+0000] {logging_mixin.py:190} INFO - Skipping movie 1720450: could not fetch metadata.
[2026-07-14T12:43:30.464+0000] {logging_mixin.py:190} INFO - Skipping movie 1720455: could not fetch metadata.
[2026-07-14T12:43:30.672+0000] {logging_mixin.py:190} INFO - Skipping movie 1720460: could not fetch metadata.
[2026-07-14T12:43:31.981+0000] {logging_mixin.py:190} INFO - Skipping movie 1720575: could not fetch metadata.
[2026-07-14T12:43:32.057+0000] {logging_mixin.py:190} INFO - Skipping movie 278764: could not fetch metadata.
[2026-07-14T12:43:36.605+0000] {logging_mixin.py:190} INFO - Skipping movie 1720841: could not fetch metadata.
[2026-07-14T12:43:37.575+0000] {logging_mixin.py:190} INFO - Skipping movie 1720890: could not fetch metadata.
[2026-07-14T12:43:37.616+0000] {logging_mixin.py:190} INFO - Skipping movie 1720891: could not fetch metadata.
[2026-07-14T12:43:37.784+0000] {logging_mixin.py:190} INFO - Skipping movie 1720892: could not fetch metadata.
[2026-07-14T12:43:41.223+0000] {logging_mixin.py:190} INFO - Skipping movie 1721059: could not fetch metadata.
[2026-07-14T12:43:41.716+0000] {logging_mixin.py:190} INFO - Skipping movie 1721075: could not fetch metadata.
[2026-07-14T12:43:43.921+0000] {logging_mixin.py:190} INFO - Skipping movie 1196866: could not fetch metadata.
[2026-07-14T12:43:47.953+0000] {logging_mixin.py:190} INFO - Skipping movie 1721436: could not fetch metadata.
[2026-07-14T12:43:48.988+0000] {logging_mixin.py:190} INFO - Skipping movie 1328264: could not fetch metadata.
[2026-07-14T12:43:49.049+0000] {logging_mixin.py:190} INFO - Skipping movie 1721492: could not fetch metadata.
[2026-07-14T12:43:57.209+0000] {logging_mixin.py:190} INFO - Skipping movie 411073: could not fetch metadata.
[2026-07-14T12:43:58.045+0000] {logging_mixin.py:190} INFO - Skipping movie 1459694: could not fetch metadata.
[2026-07-14T12:43:58.384+0000] {logging_mixin.py:190} INFO - Skipping movie 1201933: could not fetch metadata.
[2026-07-14T12:43:59.088+0000] {logging_mixin.py:190} INFO - Skipping movie 1721905: could not fetch metadata.
[2026-07-14T12:44:00.196+0000] {logging_mixin.py:190} INFO - Skipping movie 1721921: could not fetch metadata.
[2026-07-14T12:44:02.584+0000] {logging_mixin.py:190} INFO - Skipping movie 1722047: could not fetch metadata.
[2026-07-14T12:44:05.239+0000] {logging_mixin.py:190} INFO - Skipping movie 1722198: could not fetch metadata.
[2026-07-14T12:44:18.093+0000] {logging_mixin.py:190} INFO - Skipping movie 1722469: could not fetch metadata.
[2026-07-14T12:44:19.268+0000] {logging_mixin.py:190} INFO - Skipping movie 1591420: could not fetch metadata.
[2026-07-14T12:44:26.472+0000] {logging_mixin.py:190} INFO - Skipping movie 1198365: could not fetch metadata.
[2026-07-14T12:44:35.452+0000] {logging_mixin.py:190} INFO - Skipping movie 1722990: could not fetch metadata.
[2026-07-14T12:44:36.243+0000] {logging_mixin.py:190} INFO - Skipping movie 1198753: could not fetch metadata.
[2026-07-14T12:44:40.164+0000] {logging_mixin.py:190} INFO - Skipping movie 1329987: could not fetch metadata.
[2026-07-14T12:44:40.170+0000] {logging_mixin.py:190} INFO - Skipping movie 1723199: could not fetch metadata.
[2026-07-14T12:44:40.953+0000] {logging_mixin.py:190} INFO - Skipping movie 1723251: could not fetch metadata.
[2026-07-14T12:44:41.386+0000] {logging_mixin.py:190} INFO - Skipping movie 1723278: could not fetch metadata.
[2026-07-14T12:44:41.495+0000] {logging_mixin.py:190} INFO - Skipping movie 1723282: could not fetch metadata.
[2026-07-14T12:44:41.508+0000] {logging_mixin.py:190} INFO - Skipping movie 1723280: could not fetch metadata.
[2026-07-14T12:44:41.718+0000] {logging_mixin.py:190} INFO - Skipping movie 1723286: could not fetch metadata.
[2026-07-14T12:44:41.839+0000] {logging_mixin.py:190} INFO - Skipping movie 1723297: could not fetch metadata.
[2026-07-14T12:44:42.385+0000] {logging_mixin.py:190} INFO - Skipping movie 1723292: could not fetch metadata.
[2026-07-14T12:44:42.715+0000] {logging_mixin.py:190} INFO - Skipping movie 1723301: could not fetch metadata.
[2026-07-14T12:44:45.735+0000] {logging_mixin.py:190} INFO - Skipping movie 19496: could not fetch metadata.
[2026-07-14T12:44:46.811+0000] {logging_mixin.py:190} INFO - Skipping movie 1723506: could not fetch metadata.
[2026-07-14T12:44:47.614+0000] {logging_mixin.py:190} INFO - Skipping movie 806024: could not fetch metadata.
[2026-07-14T12:44:48.114+0000] {logging_mixin.py:190} INFO - Skipping movie 1723553: could not fetch metadata.
[2026-07-14T12:44:51.871+0000] {logging_mixin.py:190} INFO - Skipping movie 1723715: could not fetch metadata.
[2026-07-14T12:44:51.944+0000] {logging_mixin.py:190} INFO - Skipping movie 806216: could not fetch metadata.
[2026-07-14T12:44:53.042+0000] {logging_mixin.py:190} INFO - Skipping movie 544145: could not fetch metadata.
[2026-07-14T12:44:54.964+0000] {logging_mixin.py:190} INFO - Skipping movie 1330659: could not fetch metadata.
[2026-07-14T12:44:55.491+0000] {logging_mixin.py:190} INFO - Skipping movie 1723894: could not fetch metadata.
[2026-07-14T12:44:56.258+0000] {logging_mixin.py:190} INFO - Skipping movie 1723913: could not fetch metadata.
[2026-07-14T12:44:56.449+0000] {logging_mixin.py:190} INFO - Skipping movie 1723917: could not fetch metadata.
[2026-07-14T12:44:59.812+0000] {logging_mixin.py:190} INFO - Skipping movie 1724014: could not fetch metadata.
[2026-07-14T12:45:01.568+0000] {logging_mixin.py:190} INFO - Skipping movie 1724061: could not fetch metadata.
[2026-07-14T12:45:02.609+0000] {logging_mixin.py:190} INFO - Skipping movie 1724111: could not fetch metadata.
[2026-07-14T12:45:02.919+0000] {logging_mixin.py:190} INFO - Skipping movie 1724143: could not fetch metadata.
[2026-07-14T12:45:03.926+0000] {logging_mixin.py:190} INFO - Skipping movie 1724141: could not fetch metadata.
[2026-07-14T12:45:04.180+0000] {logging_mixin.py:190} INFO - Skipping movie 1724157: could not fetch metadata.
[2026-07-14T12:45:04.467+0000] {logging_mixin.py:190} INFO - Skipping movie 1724167: could not fetch metadata.
[2026-07-14T12:45:05.320+0000] {logging_mixin.py:190} INFO - Skipping movie 1724197: could not fetch metadata.
[2026-07-14T12:45:05.344+0000] {logging_mixin.py:190} INFO - Skipping movie 1724199: could not fetch metadata.
[2026-07-14T12:45:05.438+0000] {logging_mixin.py:190} INFO - Skipping movie 1724200: could not fetch metadata.
[2026-07-14T12:45:05.555+0000] {logging_mixin.py:190} INFO - Skipping movie 1724202: could not fetch metadata.
[2026-07-14T12:45:05.731+0000] {logging_mixin.py:190} INFO - Skipping movie 1724205: could not fetch metadata.
[2026-07-14T12:45:05.740+0000] {logging_mixin.py:190} INFO - Skipping movie 1724206: could not fetch metadata.
[2026-07-14T12:45:05.869+0000] {logging_mixin.py:190} INFO - Skipping movie 1724208: could not fetch metadata.
[2026-07-14T12:45:05.924+0000] {logging_mixin.py:190} INFO - Skipping movie 1724201: could not fetch metadata.
[2026-07-14T12:45:06.205+0000] {logging_mixin.py:190} INFO - Skipping movie 1724211: could not fetch metadata.
[2026-07-14T12:45:06.223+0000] {logging_mixin.py:190} INFO - Skipping movie 1724212: could not fetch metadata.
[2026-07-14T12:45:06.274+0000] {logging_mixin.py:190} INFO - Skipping movie 1724214: could not fetch metadata.
[2026-07-14T12:45:06.376+0000] {logging_mixin.py:190} INFO - Skipping movie 1724203: could not fetch metadata.
