[2026-06-24T09:44:15.920+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-24T09:44:15.958+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-19T00:00:00+00:00 [queued]>
[2026-06-24T09:44:15.974+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-19T00:00:00+00:00 [queued]>
[2026-06-24T09:44:15.975+0000] {taskinstance.py:2856} INFO - Starting attempt 3 of 3
[2026-06-24T09:44:15.999+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-19 00:00:00+00:00
[2026-06-24T09:44:16.022+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=299) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-24T09:44:16.022+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-06-19T00:00:00+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpkaovzglr']
[2026-06-24T09:47:45.177+0000] {logging_mixin.py:190} INFO - Skipping movie 1180769: could not fetch metadata.
[2026-06-24T09:47:45.202+0000] {logging_mixin.py:190} INFO - Skipping movie 1311853: could not fetch metadata.
[2026-06-24T09:47:45.310+0000] {logging_mixin.py:190} INFO - Skipping movie 1180759: could not fetch metadata.
[2026-06-24T09:47:45.905+0000] {logging_mixin.py:190} INFO - Skipping movie 1719641: could not fetch metadata.
[2026-06-24T09:47:46.073+0000] {logging_mixin.py:190} INFO - Skipping movie 1719645: could not fetch metadata.
[2026-06-24T09:47:46.855+0000] {logging_mixin.py:190} INFO - Skipping movie 1705195: could not fetch metadata.
[2026-06-24T09:47:48.155+0000] {logging_mixin.py:190} INFO - Skipping movie 1180993: could not fetch metadata.
[2026-06-24T09:47:48.214+0000] {logging_mixin.py:190} INFO - Skipping movie 1181003: could not fetch metadata.
[2026-06-24T09:47:48.270+0000] {logging_mixin.py:190} INFO - Skipping movie 1705298: could not fetch metadata.
[2026-06-24T09:47:48.382+0000] {logging_mixin.py:190} INFO - Skipping movie 1181012: could not fetch metadata.
[2026-06-24T09:47:48.519+0000] {logging_mixin.py:190} INFO - Skipping movie 1705301: could not fetch metadata.
[2026-06-24T09:47:49.159+0000] {logging_mixin.py:190} INFO - Skipping movie 1181042: could not fetch metadata.
[2026-06-24T09:47:49.982+0000] {logging_mixin.py:190} INFO - Skipping movie 1705414: could not fetch metadata.
[2026-06-24T09:47:49.998+0000] {logging_mixin.py:190} INFO - Skipping movie 1181134: could not fetch metadata.
[2026-06-24T09:47:51.990+0000] {logging_mixin.py:190} INFO - Skipping movie 1705529: could not fetch metadata.
[2026-06-24T09:47:52.158+0000] {logging_mixin.py:190} INFO - Skipping movie 1705541: could not fetch metadata.
[2026-06-24T09:47:52.342+0000] {logging_mixin.py:190} INFO - Skipping movie 1719724: could not fetch metadata.
[2026-06-24T09:47:55.038+0000] {logging_mixin.py:190} INFO - Skipping movie 1705635: could not fetch metadata.
