[2026-06-17T10:17:45.749+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-17T10:17:45.779+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:17:44.303386+00:00 [queued]>
[2026-06-17T10:17:45.791+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:17:44.303386+00:00 [queued]>
[2026-06-17T10:17:45.792+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-06-17T10:17:45.814+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-17 10:17:44.303386+00:00
[2026-06-17T10:17:45.825+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2257) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-17T10:17:45.828+0000] {standard_task_runner.py:72} INFO - Started process 2258 to run task
[2026-06-17T10:17:45.824+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'manual__2026-06-17T10:17:44.303386+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpzyx4tzay']
[2026-06-17T10:17:45.829+0000] {standard_task_runner.py:105} INFO - Job 15: Subtask incremental_sync_pipeline
[2026-06-17T10:17:45.911+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:17:44.303386+00:00 [running]> on host d8c53ec118ae
[2026-06-17T10:17:46.053+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-17T10:17:44.303386+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-17T10:17:44.303386+00:00'
[2026-06-17T10:17:46.055+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-17T10:17:46.090+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-06-16 → 2026-06-17...
[2026-06-17T10:19:00.541+0000] {logging_mixin.py:190} INFO - Skipping movie 108172: could not fetch metadata.
[2026-06-17T10:19:03.121+0000] {logging_mixin.py:190} INFO - Skipping movie 1714123: could not fetch metadata.
[2026-06-17T10:19:03.696+0000] {logging_mixin.py:190} INFO - Skipping movie 1714161: could not fetch metadata.
[2026-06-17T10:19:03.750+0000] {logging_mixin.py:190} INFO - Skipping movie 1714168: could not fetch metadata.
[2026-06-17T10:19:04.523+0000] {logging_mixin.py:190} INFO - Skipping movie 1714262: could not fetch metadata.
[2026-06-17T10:19:04.579+0000] {logging_mixin.py:190} INFO - Skipping movie 1714267: could not fetch metadata.
[2026-06-17T10:19:04.625+0000] {logging_mixin.py:190} INFO - Skipping movie 1714271: could not fetch metadata.
[2026-06-17T10:19:05.746+0000] {logging_mixin.py:190} INFO - Skipping movie 1714364: could not fetch metadata.
[2026-06-17T10:19:09.270+0000] {logging_mixin.py:190} INFO - Skipping movie 1256134: could not fetch metadata.
[2026-06-17T10:19:09.285+0000] {logging_mixin.py:190} INFO - Skipping movie 1256131: could not fetch metadata.
[2026-06-17T10:19:09.451+0000] {logging_mixin.py:190} INFO - Skipping movie 1256150: could not fetch metadata.
[2026-06-17T10:19:09.469+0000] {logging_mixin.py:190} INFO - Skipping movie 1714904: could not fetch metadata.
[2026-06-17T10:19:10.563+0000] {logging_mixin.py:190} INFO - Skipping movie 1714981: could not fetch metadata.
[2026-06-17T10:19:11.036+0000] {logging_mixin.py:190} INFO - Skipping movie 1714945: could not fetch metadata.
[2026-06-17T10:19:12.629+0000] {logging_mixin.py:190} INFO - Skipping movie 1715091: could not fetch metadata.
[2026-06-17T10:19:14.458+0000] {logging_mixin.py:190} INFO - Skipping movie 1715213: could not fetch metadata.
[2026-06-17T10:19:15.194+0000] {logging_mixin.py:190} INFO - Skipping movie 1715266: could not fetch metadata.
[2026-06-17T10:19:16.105+0000] {logging_mixin.py:190} INFO - Skipping movie 1715332: could not fetch metadata.
[2026-06-17T10:19:19.152+0000] {logging_mixin.py:190} INFO - Skipping movie 1715378: could not fetch metadata.
[2026-06-17T10:19:20.177+0000] {logging_mixin.py:190} INFO - Skipping movie 1715418: could not fetch metadata.
[2026-06-17T10:19:21.245+0000] {logging_mixin.py:190} INFO - Skipping movie 1715444: could not fetch metadata.
[2026-06-17T10:19:21.383+0000] {logging_mixin.py:190} INFO - Skipping movie 1715452: could not fetch metadata.
[2026-06-17T10:19:21.482+0000] {logging_mixin.py:190} INFO - Skipping movie 1715457: could not fetch metadata.
[2026-06-17T10:19:21.640+0000] {logging_mixin.py:190} INFO - Skipping movie 1715466: could not fetch metadata.
[2026-06-17T10:19:23.437+0000] {logging_mixin.py:190} INFO - Skipping movie 1715474: could not fetch metadata.
[2026-06-17T10:19:23.719+0000] {logging_mixin.py:190} INFO - Skipping movie 1715505: could not fetch metadata.
[2026-06-17T10:19:25.271+0000] {logging_mixin.py:190} INFO - Skipping movie 1715542: could not fetch metadata.
[2026-06-17T10:19:27.126+0000] {logging_mixin.py:190} INFO - Skipping movie 1715599: could not fetch metadata.
[2026-06-17T10:19:27.268+0000] {logging_mixin.py:190} INFO - Skipping movie 1715600: could not fetch metadata.
[2026-06-17T10:19:27.408+0000] {logging_mixin.py:190} INFO - Skipping movie 1715606: could not fetch metadata.
[2026-06-17T10:19:27.559+0000] {logging_mixin.py:190} INFO - Skipping movie 1715608: could not fetch metadata.
[2026-06-17T10:19:27.573+0000] {logging_mixin.py:190} INFO - Skipping movie 1715609: could not fetch metadata.
[2026-06-17T10:19:27.722+0000] {logging_mixin.py:190} INFO - Skipping movie 1715615: could not fetch metadata.
[2026-06-17T10:19:28.566+0000] {logging_mixin.py:190} INFO - Skipping movie 1715638: could not fetch metadata.
[2026-06-17T10:19:30.399+0000] {logging_mixin.py:190} INFO - Skipping movie 1715682: could not fetch metadata.
[2026-06-17T10:19:36.851+0000] {logging_mixin.py:190} INFO - Skipping movie 1453699: could not fetch metadata.
[2026-06-17T10:19:38.808+0000] {logging_mixin.py:190} INFO - Skipping movie 1715890: could not fetch metadata.
[2026-06-17T10:19:47.425+0000] {logging_mixin.py:190} INFO - Skipping movie 1454545: could not fetch metadata.
[2026-06-17T10:19:47.685+0000] {logging_mixin.py:190} INFO - Skipping movie 1454559: could not fetch metadata.
[2026-06-17T10:19:48.325+0000] {logging_mixin.py:190} INFO - Skipping movie 1454684: could not fetch metadata.
[2026-06-17T10:19:48.471+0000] {logging_mixin.py:190} INFO - Skipping movie 1454703: could not fetch metadata.
[2026-06-17T10:19:48.644+0000] {logging_mixin.py:190} INFO - Skipping movie 1454711: could not fetch metadata.
[2026-06-17T10:19:48.708+0000] {logging_mixin.py:190} INFO - Skipping movie 1715461: could not fetch metadata.
[2026-06-17T10:19:49.870+0000] {logging_mixin.py:190} INFO - Skipping movie 1553293: could not fetch metadata.
[2026-06-17T10:19:51.230+0000] {logging_mixin.py:190} INFO - Skipping movie 1553537: could not fetch metadata.
[2026-06-17T10:19:52.011+0000] {logging_mixin.py:190} INFO - Skipping movie 1652000: could not fetch metadata.
[2026-06-17T10:19:52.673+0000] {logging_mixin.py:190} INFO - Skipping movie 1715612: could not fetch metadata.
[2026-06-17T10:19:53.076+0000] {logging_mixin.py:190} INFO - Skipping movie 1715629: could not fetch metadata.
[2026-06-17T10:20:03.601+0000] {logging_mixin.py:190} INFO - Skipping movie 1715968: could not fetch metadata.
[2026-06-17T10:20:03.850+0000] {logging_mixin.py:190} INFO - Skipping movie 1686693: could not fetch metadata.
[2026-06-17T10:20:07.363+0000] {logging_mixin.py:190} INFO - Skipping movie 1162949: could not fetch metadata.
[2026-06-17T10:20:09.483+0000] {logging_mixin.py:190} INFO - Skipping movie 1294451: could not fetch metadata.
[2026-06-17T10:20:09.484+0000] {logging_mixin.py:190} INFO - Skipping movie 1294455: could not fetch metadata.
[2026-06-17T10:20:09.493+0000] {logging_mixin.py:190} INFO - Skipping movie 1294459: could not fetch metadata.
[2026-06-17T10:20:09.523+0000] {logging_mixin.py:190} INFO - Skipping movie 1294465: could not fetch metadata.
[2026-06-17T10:20:09.606+0000] {logging_mixin.py:190} INFO - Skipping movie 1294468: could not fetch metadata.
[2026-06-17T10:20:09.742+0000] {logging_mixin.py:190} INFO - Skipping movie 1294471: could not fetch metadata.
[2026-06-17T10:20:11.115+0000] {logging_mixin.py:190} INFO - Skipping movie 1523905: could not fetch metadata.
[2026-06-17T10:20:11.117+0000] {logging_mixin.py:190} INFO - Skipping movie 1392811: could not fetch metadata.
[2026-06-17T10:20:14.286+0000] {logging_mixin.py:190} INFO - Skipping movie 1393324: could not fetch metadata.
